player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Oussama Benbot,Algeria,Algeria,GK,31,1994,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,25.0,90.0,1,0,,3,1.0,3.0,3.0,0.0,0.0,1.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rafik Belghali,Algeria,Algeria,DF,24,2002,Hellas Verona,4,4,331.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,3.0,1.0,33.3,0.82,0.27,0.33,1.0,83.0,91.9,83.0,2,0,,0,1.0,4.0,8.0,-4.0,-1.09,-1.09,0.0,4.0,2.0,0.0,4.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Ramiz Zerrouki,Algeria,Algeria,MF,28,1998,Twente,3,2,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,37.0,30.8,51.0,0,1,9.0,1,1.0,0.0,3.0,-3.0,-2.43,-2.07,0.0,4.0,0.0,0.0,0.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ramy Bensebaini,Algeria,Algeria,DF,31,1995,Dortmund,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,,90.0,100.0,90.0,4,0,,0,1.0,5.0,9.0,-4.0,-1.0,,0.0,1.0,5.0,0.0,0.0,7.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,
Rayan Aït-Nouri,Algeria,Algeria,DF,25,2001,Manchester City,4,3,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32,0.0,0.0,,71.0,78.9,88.0,2,1,20.0,0,1.0,3.0,7.0,-4.0,-1.27,-1.27,0.0,6.0,4.0,0.0,8.0,5.0,13.0,,,0.0,,,,,,,,,,,,,,,,,,
Riyad Mahrez,Algeria,Algeria,MF,35,1991,Al-Ahli,4,3,262.0,2.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.69,0.34,1.03,0.69,1.03,6.0,3.0,50.0,2.06,1.03,0.33,0.67,66.0,72.8,78.0,1,1,27.0,0,1.0,4.0,7.0,-3.0,-1.03,-0.11,0.0,1.0,7.0,1.0,10.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Samir Chergui,Algeria,Algeria,DF,27,1999,Paris FC,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,20.0,5.6,,0,1,20.0,3,1.0,1.0,1.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Yassine Titraoui,Algeria,Algeria,MF,22,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zineddine Belaïd,Algeria,Algeria,DF,27,1999,,2,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,13.0,6.9,,0,2,13.0,2,2.0,1.0,1.0,0.0,0.0,1.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,Argentina,Argentina,MF,27,1998,Liverpool,8,7,750.0,8.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.12,0.12,0.24,0.12,0.24,13.0,4.0,30.8,1.56,0.48,0.08,0.25,94.0,92.6,103.0,7,1,30.0,0,2.63,17.0,7.0,10.0,1.2,-0.3,0.0,9.0,12.0,0.0,2.0,9.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,
Cristian Romero,Argentina,Argentina,DF,28,1998,Tottenham,7,7,608.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,3.0,1.0,33.3,0.44,0.15,0.33,1.0,87.0,75.1,87.0,2,0,,1,2.57,12.0,6.0,6.0,0.89,-1.34,0.0,9.0,3.0,0.0,0.0,11.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,
Emiliano Martínez,Argentina,Argentina,GK,33,1992,Aston Villa,8,8,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,101.0,100.0,101.0,8,0,,0,2.63,19.0,8.0,11.0,1.22,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,8.0,8.0,810.0,8.0,0.89,28.0,20.0,71.4,7.0,0.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,
Enzo Fernández,Argentina,Argentina,MF,25,2001,Chelsea,7,7,659.0,7.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.27,0.0,0.27,0.27,0.27,12.0,4.0,33.3,1.64,0.55,0.17,0.5,94.0,81.4,94.0,5,0,,1,2.57,14.0,6.0,8.0,1.09,-0.7,1.0,12.0,6.0,1.0,5.0,6.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,
Exequiel Palacios,Argentina,Argentina,DF,27,1998,Leverkusen,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,11.1,90.0,1,0,,7,3.0,3.0,1.0,2.0,2.0,0.87,0.0,1.0,1.0,0.0,0.0,5.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Facundo Medina,Argentina,Argentina,DF,27,1999,Marseille,5,3,308.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29,0.29,0.0,0.29,0.0,0.0,,0.0,0.0,,,62.0,38.0,85.0,1,2,26.0,3,2.4,5.0,2.0,3.0,0.88,-0.56,0.0,3.0,2.0,1.0,1.0,2.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,
Flaco López,Argentina,Argentina,FW,25,2000,Palmeiras,2,0,20.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,4.5,0.0,4.5,1.0,0.0,0.0,4.5,0.0,0.0,,10.0,2.5,,0,2,10.0,6,3.0,2.0,0.0,2.0,9.0,7.97,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Gerónimo Rulli,Argentina,Argentina,GK,34,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovani Lo Celso,Argentina,Argentina,MF,30,1996,Real Betis,1,1,59.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.53,0.0,1.53,1.53,1.53,1.0,1.0,100.0,1.53,1.53,1.0,1.0,59.0,7.3,59.0,0,0,,7,3.0,2.0,1.0,1.0,1.53,0.33,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Giuliano Simeone,Argentina,Argentina,FW,23,2002,Atlético Madrid,3,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47,0.0,0.0,,64.0,23.7,71.0,0,1,51.0,5,2.0,2.0,3.0,-1.0,-0.47,-2.22,0.0,9.0,1.0,1.0,2.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Gonzalo Montiel,Argentina,Argentina,DF,29,1997,River Plate,6,2,192.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47,0.47,0.0,0.47,1.0,0.0,0.0,0.47,0.0,0.0,,32.0,23.7,51.0,0,4,23.0,2,2.5,9.0,0.0,9.0,4.22,3.93,0.0,4.0,2.0,0.0,4.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Juan Musso,Argentina,Argentina,GK,32,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julián Álvarez,Argentina,Argentina,FW,26,2000,Atlético Madrid,8,5,602.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,11.0,5.0,45.5,1.64,0.75,0.09,0.2,75.0,74.3,96.0,2,3,40.0,0,2.63,15.0,6.0,9.0,1.35,0.48,0.0,11.0,4.0,2.0,2.0,3.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Lautaro Martínez,Argentina,Argentina,FW,28,1997,Inter,7,4,310.0,3.4,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.87,0.29,1.16,0.58,0.87,10.0,4.0,40.0,2.9,1.16,0.2,0.5,44.0,38.3,60.0,0,3,24.0,1,3.0,12.0,3.0,9.0,2.61,2.25,0.0,8.0,5.0,2.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Leandro Paredes,Argentina,Argentina,MF,31,1994,Boca Juniors,7,4,473.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.76,0.19,0.0,0.0,68.0,58.4,88.0,2,3,40.0,1,2.57,10.0,7.0,3.0,0.57,-1.57,0.0,9.0,3.0,0.0,2.0,5.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,
Lionel Messi,Argentina,Argentina,FW,38,1987,Inter Miami,8,7,740.0,8.2,8.0,4.0,12.0,8.0,0.0,2.0,0.0,0.0,0.97,0.49,1.46,0.97,1.46,35.0,18.0,51.4,4.26,2.19,0.23,0.44,93.0,91.4,101.0,6,1,31.0,0,2.63,17.0,7.0,10.0,1.22,-0.07,0.0,3.0,20.0,5.0,54.0,0.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,
Lisandro Martínez,Argentina,Argentina,DF,28,1998,Manchester Utd,7,7,624.0,6.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.14,0.14,0.29,0.14,0.29,4.0,2.0,50.0,0.58,0.29,0.25,0.5,89.0,77.0,89.0,5,0,,1,2.57,14.0,6.0,8.0,1.15,-0.3,0.0,7.0,4.0,0.0,2.0,6.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,
Marcos Senesi,Argentina,Argentina,DF,29,1997,Bournemouth,2,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.83,0.0,0.0,,55.0,13.5,90.0,1,1,19.0,6,1.5,3.0,2.0,1.0,0.83,-0.46,0.0,0.0,3.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Nahuel Molina,Argentina,Argentina,DF,28,1998,Atlético Madrid,7,5,528.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.0,0.0,,75.0,65.2,84.0,1,2,54.0,1,2.57,7.0,7.0,0.0,0.0,-3.51,0.0,3.0,0.0,1.0,5.0,8.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás González,Argentina,Argentina,MF,28,1998,Atlético Madrid,7,1,259.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,7.0,1.0,14.3,2.43,0.35,0.0,0.0,37.0,32.0,45.0,0,6,36.0,1,2.57,12.0,2.0,10.0,3.47,3.31,0.0,4.0,3.0,2.0,6.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás Otamendi,Argentina,Argentina,DF,38,1988,Benfica,7,1,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36,0.0,0.0,,35.0,30.5,90.0,1,6,26.0,1,2.57,8.0,2.0,6.0,2.19,1.39,0.0,4.0,4.0,1.0,0.0,6.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás Paz,Argentina,Argentina,MF,21,2004,Como,2,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.27,0.0,0.0,,36.0,8.8,60.0,0,1,11.0,6,3.0,2.0,1.0,1.0,1.27,0.05,0.0,2.0,1.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás Tagliafico,Argentina,Argentina,DF,33,1992,Lyon,7,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,68.0,58.8,86.0,2,2,22.0,1,2.57,7.0,6.0,1.0,0.19,-2.51,0.0,9.0,16.0,2.0,2.0,6.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Rodrigo De Paul,Argentina,Argentina,MF,32,1994,Inter Miami,7,6,491.0,5.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,2.0,1.0,50.0,0.37,0.18,0.0,0.0,70.0,60.6,79.0,1,1,19.0,1,2.57,8.0,3.0,5.0,0.92,-0.78,0.0,2.0,5.0,1.0,14.0,6.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Thiago Almada,Argentina,Argentina,MF,25,2001,Atlético Madrid,5,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,1.87,0.75,0.0,0.0,48.0,29.8,60.0,0,2,31.0,3,3.0,6.0,1.0,5.0,1.87,0.92,0.0,2.0,2.0,2.0,1.0,0.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Valentín Barco,Argentina,Argentina,"DF,MF",21,2004,Strasbourg,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,20.0,2.5,,0,1,20.0,7,3.0,1.0,0.0,1.0,4.5,3.36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Aiden O'Neill,Australia,Australia,MF,27,1998,NYCFC,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,,90.0,92.3,90.0,3,0,,0,1.25,3.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,10.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Ajdin Hrustic,Australia,Australia,MF,29,1996,Heracles Almelo,2,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.38,0.0,0.0,,40.0,20.5,,0,2,40.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Alessandro Circati,Australia,Australia,DF,22,2003,Parma,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.69,0.0,0.0,,98.0,100.0,98.0,4,0,,0,1.25,3.0,3.0,0.0,0.0,,0.0,5.0,4.0,0.0,2.0,2.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,
Awer Mabil,Australia,Australia,"FW,MF",30,1995,Castellón,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,30.0,7.7,,0,1,30.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Aziz Behich,Australia,Australia,MF,35,1990,Melb City,3,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.41,0.41,0.0,0.0,72.0,55.6,105.0,2,1,7.0,1,1.67,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0,1.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Cameron Burgess,Australia,Australia,DF,30,1995,Swansea City,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,68.0,34.6,68.0,1,0,,2,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Cammy Devlin,Australia,Australia,MF,28,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Metcalfe,Australia,Australia,MF,26,1999,St Pauli,4,3,315.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,5.0,2.0,40.0,1.43,0.57,0.2,0.5,79.0,80.8,90.0,2,1,45.0,0,1.25,3.0,1.0,2.0,0.57,2.97,0.0,1.0,0.0,0.0,8.0,2.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
Cristian Volpato,Australia,Australia,MF,22,2003,Sassuolo,3,2,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,2.25,0.56,0.0,0.0,53.0,41.0,65.0,0,1,30.0,1,0.67,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Harry Souttar,Australia,Australia,DF,27,1998,Leicester City,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.23,0.23,0.0,0.0,98.0,100.0,98.0,4,0,,0,1.25,3.0,3.0,0.0,0.0,,0.0,8.0,1.0,0.0,0.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
